product_id,product_name,category,supplier_id,warehouse_id,stock_quantity,reorder_level,last_restock_date
P2787357,Mouthwash - Medium,Personal Care,SUP40008,WH001,691,75,2022-11-06
P4442885,Conditioner - Herbal,Baby Care,SUP40004,WH003,407,86,2023-01-07
P9770065,Toilet Cleaner - Lemon,Laundry,SUP40002,WH009,1443,210,2022-09-11
P7847270,Bleach - Lemon,Home Care,SUP40007,WH001,1712,254,2022-02-08
P8363087,Mouthwash - Mint,Baby Care,SUP40002,WH005,304,70,2023-09-24
P7266857,Floor Cleaner - Small,Home Care,SUP40005,WH006,1363,216,2022-02-19
P8038221,Dental Floss - 2L,Kitchen Care,SUP40001,WH009,635,153,2022-05-28
P5721256,Mouthwash - 2L,Baby Care,SUP40002,WH005,249,37,2022-03-14
P5402836,Baby Diapers - Lemon,Personal Care,SUP40006,WH005,519,65,2023-06-17
P2928842,Floor Cleaner - 2L,Home Care,SUP40005,WH010,1691,343,2023-05-06
P8545258,Hand Soap - Small,Baby Care,SUP40002,WH001,1048,131,2022-04-08
P8022153,Baby Wipes - Herbal,Laundry,SUP40004,WH002,336,83,2022-05-02
P8979534,Detergent Liquid - 2L,Laundry,SUP40003,WH004,302,72,2023-02-18
P7929627,Shampoo - Lemon,Laundry,SUP40009,WH005,1821,217,2022-07-16
P9940817,Surface Cleaner - Aloe,Personal Care,SUP40003,WH009,1808,246,2023-04-02
P0810925,Baby Lotion - Herbal,Oral Care,SUP40004,WH006,1919,438,2023-05-31
P1260160,Glass Cleaner - Herbal,Hair Care,SUP40006,WH007,1987,588,2023-02-26
P5181364,Mouthwash - Small,Personal Care,SUP40008,WH009,1856,393,2022-11-27
P0554545,Floor Cleaner - Lemon,Kitchen Care,SUP40005,WH006,697,85,2022-10-02
P5623162,Baby Diapers - Herbal,Kitchen Care,SUP40006,WH010,1625,315,2023-07-09
P9589215,Detergent Liquid - Mint,Home Care,SUP40008,WH004,971,205,2022-06-16
P4017015,Dishwashing Gel - Large,Baby Care,SUP40008,WH002,873,94,2022-12-25
P5861428,Toilet Cleaner - Small,Home Care,SUP40002,WH005,1433,393,2023-03-16
P0738375,Conditioner - Medium,Oral Care,SUP40009,WH005,1370,379,2022-09-15
P5518807,Shaving Cream - Aloe,Kitchen Care,SUP40005,WH006,1342,290,2022-01-14
P0863941,Mouthwash - Herbal,Oral Care,SUP40007,WH009,1348,258,2022-04-27
P4399728,Mouthwash - 1L,Kitchen Care,SUP40008,WH006,928,189,2022-11-11
P3615759,Mouthwash - Aloe,Hair Care,SUP40008,WH008,794,209,2023-03-21
P7020371,Surface Cleaner - 1L,Laundry,SUP40006,WH005,721,147,2022-05-16
P3618222,Detergent Liquid - Aloe,Hair Care,SUP40002,WH005,627,154,2023-08-23
P8744303,Surface Cleaner - 2L,Personal Care,SUP40004,WH003,981,272,2022-03-22
P4349125,Hand Soap - Lemon,Kitchen Care,SUP40001,WH009,1337,215,2023-06-04
P6329362,Hand Soap - 500ml,Kitchen Care,SUP40001,WH009,1940,545,2022-05-28
P4501115,Shampoo - 2L,Baby Care,SUP40006,WH004,162,34,2022-03-17
P9958416,Laundry Detergent - Large,Home Care,SUP40006,WH005,687,139,2022-09-03
P1795907,Glass Cleaner - 2L,Personal Care,SUP40001,WH007,1957,218,2023-03-01
P2113626,Toilet Cleaner - 2L,Hair Care,SUP40006,WH008,599,146,2022-01-24
P9878726,Bleach - 2L,Baby Care,SUP40005,WH005,1002,287,2022-11-05
P0519062,Toothpaste - Mint,Oral Care,SUP40007,WH003,282,68,2022-05-23
P6501538,Shaving Cream - 2L,Laundry,SUP40006,WH006,1127,213,2022-03-09
P9780400,Conditioner - Large,Hair Care,SUP40007,WH004,419,43,2022-01-05
P4725029,Mouthwash - Medium,Home Care,SUP40008,WH005,431,127,2023-02-21
P7073638,Shampoo - 500ml,Laundry,SUP40001,WH001,1804,514,2023-01-08
P4640422,Dishwashing Gel - Lemon,Home Care,SUP40004,WH006,1765,525,2022-05-11
P1538548,Floor Cleaner - Aloe,Hair Care,SUP40003,WH002,1620,454,2023-09-27
P5473460,Baby Diapers - Mint,Laundry,SUP40005,WH007,1884,318,2022-04-24
P9472224,Shampoo - Small,Personal Care,SUP400010,WH007,413,44,2022-09-11
P7779594,Dental Floss - Lemon,Baby Care,SUP40009,WH003,901,117,2023-05-07
P7867744,Detergent Liquid - Small,Hair Care,SUP40004,WH002,1508,212,2022-11-03
P0940674,Conditioner - Large,Oral Care,SUP40005,WH010,1305,145,2023-08-08
P5722784,Floor Cleaner - 1L,Personal Care,SUP40008,WH002,1059,227,2022-08-30
P3792640,Detergent Liquid - Small,Hair Care,SUP40007,WH006,985,115,2022-06-25
P4759135,Toothpaste - Herbal,Oral Care,SUP40008,WH005,1103,240,2023-08-20
P9716482,Baby Lotion - Aloe,Oral Care,SUP40005,WH004,510,89,2022-03-21
P5642889,Toothpaste - Small,Kitchen Care,SUP40006,WH007,701,104,2022-11-08
P7031788,Laundry Detergent - Herbal,Kitchen Care,SUP400010,WH006,1596,302,2023-01-02
P2981729,Shampoo - 1L,Baby Care,SUP400010,WH004,850,252,2022-12-01
P4370791,Mouthwash - Mint,Hair Care,SUP400010,WH006,268,37,2022-11-04
P4705230,Fabric Softener - Mint,Baby Care,SUP400010,WH001,365,67,2022-11-04
P1986115,Baby Wipes - 1L,Hair Care,SUP40005,WH008,1859,485,2023-03-23
P2652122,Fabric Softener - Large,Baby Care,SUP40003,WH005,385,56,2022-10-20
P9239877,Baby Wipes - Lemon,Home Care,SUP40003,WH004,793,101,2023-05-23
P6456006,Toilet Cleaner - Lemon,Laundry,SUP40009,WH008,1646,259,2022-08-11
P7630498,Fabric Softener - Small,Baby Care,SUP40007,WH008,524,97,2022-06-15
P2232657,Glass Cleaner - Lemon,Home Care,SUP40006,WH005,308,60,2022-07-28
P0077916,Hair Spray - 500ml,Baby Care,SUP40002,WH004,1991,227,2023-01-25
P6371350,Toilet Cleaner - Large,Personal Care,SUP400010,WH009,905,251,2023-04-13
P9766725,Dishwashing Gel - 500ml,Oral Care,SUP40008,WH002,683,164,2022-10-15
P8368135,Mouthwash - 1L,Hair Care,SUP40003,WH007,164,46,2022-07-11
P8682547,Floor Cleaner - 500ml,Laundry,SUP40003,WH010,658,68,2023-01-28
P4322051,Detergent Liquid - 2L,Laundry,SUP40004,WH001,1561,156,2023-08-17
P3183953,Conditioner - Aloe,Hair Care,SUP40004,WH005,1040,228,2022-11-05
P5588884,Baby Lotion - Lemon,Home Care,SUP40005,WH001,316,51,2022-08-14
P9033383,Detergent Liquid - Small,Kitchen Care,SUP40003,WH006,469,46,2022-01-31
P0759885,Conditioner - 1L,Home Care,SUP40004,WH003,682,172,2022-12-08
P0649672,Hair Spray - Lemon,Baby Care,SUP400010,WH002,495,62,2023-06-07
P5313839,Baby Wipes - Medium,Personal Care,SUP40007,WH004,1598,377,2022-12-24
P7726327,Dental Floss - Herbal,Kitchen Care,SUP40008,WH004,702,177,2022-12-14
P0374509,Toothpaste - Lemon,Laundry,SUP40009,WH002,141,29,2023-04-22
P4766070,Floor Cleaner - Medium,Oral Care,SUP40001,WH010,337,79,2023-06-07
P5380750,Toilet Cleaner - Aloe,Home Care,SUP40007,WH003,954,227,2022-11-12
P5346013,Laundry Detergent - Herbal,Laundry,SUP40003,WH001,1421,369,2022-09-12
P1226973,Hair Spray - Medium,Oral Care,SUP400010,WH003,1498,445,2023-05-23
P6051939,Hand Soap - 2L,Laundry,SUP40009,WH009,703,133,2022-10-04
P0221613,Fabric Softener - Medium,Personal Care,SUP40006,WH006,166,41,2023-04-18
P3702281,Fabric Softener - Small,Baby Care,SUP40009,WH002,1697,448,2022-02-14
P5119862,Glass Cleaner - Mint,Baby Care,SUP40002,WH001,541,147,2023-09-06
P5541534,Dental Floss - Large,Kitchen Care,SUP40009,WH010,361,99,2022-03-09
P8159237,Dental Floss - Mint,Baby Care,SUP40006,WH005,313,53,2022-10-30
P4992259,Baby Diapers - Mint,Oral Care,SUP400010,WH008,61,8,2023-04-03
P6850261,Conditioner - Aloe,Home Care,SUP40001,WH004,1261,151,2022-12-24
P2238339,Glass Cleaner - Large,Kitchen Care,SUP40004,WH006,1866,521,2023-04-26
P8096317,Detergent Liquid - Small,Personal Care,SUP40007,WH006,504,68,2023-02-24
P7738234,Dental Floss - Medium,Home Care,SUP40009,WH010,167,40,2023-01-06
