order_id,product_id,customer_id,order_date,order_quantity,order_status,warehouse_id
ORD20099,P4004145,CUST50038,2023-09-10,369,Cancelled,WH001
ORD20040,P3185781,CUST50035,2023-09-26,341,Processing,WH008
ORD20063,P7931610,CUST50083,2023-06-21,63,Returned,WH005
ORD20052,P3521684,CUST50074,2023-08-30,195,Processing,WH004
ORD20021,P7605426,CUST50035,2023-07-31,78,Returned,WH010
ORD20096,P2272119,CUST50083,2023-08-01,452,Cancelled,WH005
ORD20012,P3272041,CUST50053,2023-08-08,295,Delivered,WH010
ORD20028,P0687542,CUST50040,2023-08-12,38,Pending,WH004
ORD20079,P8096317,CUST50027,2023-06-24,297,Pending,WH006
ORD20087,P1922372,CUST50037,2023-09-25,292,Shipped,WH007
ORD20050,P3904989,CUST50075,2023-07-23,298,Cancelled,WH009
ORD20022,P3287068,CUST50055,2023-07-04,395,Shipped,WH002
ORD20075,P7217292,CUST50049,2023-09-26,441,Shipped,WH007
ORD20021,P8463357,CUST50043,2023-06-12,407,Delivered,WH010
ORD20029,P7547842,CUST50072,2023-08-31,78,Shipped,WH008
ORD20062,P0338036,CUST50077,2023-08-01,491,Pending,WH003
ORD20081,P9884560,CUST50051,2023-06-28,202,Cancelled,WH009
ORD20055,P3623760,CUST50035,2023-08-18,302,Delivered,WH006
ORD20037,P0346787,CUST50030,2023-09-17,197,Pending,WH005
ORD20000,P9678453,CUST50054,2023-06-09,333,Processing,WH001
ORD20049,P5813866,CUST50075,2023-07-29,397,Returned,WH006
ORD20062,P0196086,CUST50051,2023-09-07,340,Processing,WH004
ORD20095,P5384948,CUST50065,2023-09-13,441,Delivered,WH009
ORD20087,P2516340,CUST50023,2023-08-29,448,Cancelled,WH005
ORD20046,P3667880,CUST50091,2023-06-04,353,Processing,WH007
ORD20047,P1715904,CUST50041,2023-08-20,300,Processing,WH008
ORD20047,P0221613,CUST50058,2023-07-25,303,Cancelled,WH006
ORD20058,P2272119,CUST50020,2023-08-01,80,Processing,WH005
ORD20070,P1154817,CUST50035,2023-09-09,129,Pending,WH002
ORD20026,P3129645,CUST50039,2023-06-03,28,Processing,WH005
ORD20016,P1538548,CUST50031,2023-07-04,365,Delivered,WH002
ORD20064,P4160190,CUST50076,2023-08-27,135,Shipped,WH007
ORD20086,P1743121,CUST50066,2023-07-24,88,Cancelled,WH007
ORD20081,P5216820,CUST50016,2023-06-10,111,Delivered,WH001
ORD20081,P4349125,CUST50058,2023-08-25,241,Cancelled,WH009
ORD20054,P2763211,CUST50042,2023-09-07,342,Delivered,WH006
ORD20081,P6976683,CUST50087,2023-07-05,370,Pending,WH008
ORD20096,P7640300,CUST50047,2023-08-14,449,Cancelled,WH006
