shipment_id,order_id,warehouse_id,carrier,shipment_date,delivery_status
SHP30062,ORD20070,WH001,FedEx,2023-10-23,Out for Delivery
SHP30086,ORD20086,WH006,Amazon Logistics,2023-08-23,Delayed
SHP30037,ORD20024,WH003,BlueDart,2023-09-27,Lost
SHP30067,ORD20074,WH004,Amazon Logistics,2023-10-01,Lost
SHP30075,ORD20022,WH002,XPO Logistics,2023-10-14,In Transit
SHP30028,ORD20029,WH005,XPO Logistics,2023-10-28,Lost
SHP30041,ORD20003,WH007,UPS,2023-07-20,Delivered
SHP30011,ORD20060,WH008,Delhivery,2023-10-03,In Transit
SHP30078,ORD20097,WH010,DHL,2023-08-19,Delivered
SHP30033,ORD20090,WH007,BlueDart,2023-07-28,Lost
SHP30002,ORD20088,WH003,UPS,2023-07-08,Delivered
SHP30080,ORD20057,WH005,UPS,2023-08-10,Out for Delivery
SHP30018,ORD20093,WH008,DHL,2023-08-24,Delivered
SHP30079,ORD20002,WH006,DHL,2023-10-15,Delayed
SHP30002,ORD20077,WH003,BlueDart,2023-10-19,Out for Delivery
SHP30091,ORD20090,WH009,XPO Logistics,2023-08-20,Delayed
SHP30089,ORD20004,WH010,BlueDart,2023-08-31,Lost
SHP30019,ORD20010,WH007,Kuehne + Nagel,2023-10-23,Delayed
SHP30026,ORD20016,WH002,BlueDart,2023-09-04,Delayed
SHP30086,ORD20023,WH010,UPS,2023-08-28,Out for Delivery
SHP30011,ORD20086,WH007,FedEx,2023-10-08,Lost
SHP30022,ORD20066,WH004,Amazon Logistics,2023-10-09,Lost
SHP30000,ORD20047,WH003,Amazon Logistics,2023-10-20,Lost
SHP30027,ORD20051,WH002,Kuehne + Nagel,2023-09-14,Delayed
SHP30068,ORD20043,WH003,XPO Logistics,2023-10-12,In Transit
SHP30076,ORD20041,WH007,XPO Logistics,2023-09-17,Out for Delivery
SHP30004,ORD20097,WH008,UPS,2023-08-17,Delayed
SHP30098,ORD20036,WH008,XPO Logistics,2023-07-14,Lost
SHP30046,ORD20022,WH007,Amazon Logistics,2023-07-27,Delivered
SHP30002,ORD20022,WH010,Delhivery,2023-08-31,In Transit
SHP30096,ORD20057,WH010,Kuehne + Nagel,2023-08-16,Delivered
SHP30081,ORD20081,WH007,DHL,2023-09-18,Delivered
SHP30044,ORD20033,WH005,UPS,2023-10-24,Delayed
SHP30079,ORD20025,WH003,XPO Logistics,2023-08-23,Lost
SHP30018,ORD20012,WH001,FedEx,2023-09-12,Delivered
SHP30092,ORD20021,WH002,BlueDart,2023-08-11,Lost
SHP30074,ORD20031,WH008,XPO Logistics,2023-07-28,In Transit
SHP30005,ORD20049,WH005,XPO Logistics,2023-09-01,Lost
SHP30074,ORD20037,WH009,Amazon Logistics,2023-10-20,Delivered
SHP30003,ORD20060,WH010,UPS,2023-09-06,In Transit
SHP30024,ORD20001,WH004,BlueDart,2023-10-03,In Transit
SHP30074,ORD20055,WH005,BlueDart,2023-09-20,In Transit
SHP30094,ORD20022,WH001,Kuehne + Nagel,2023-10-12,In Transit
SHP30075,ORD20097,WH005,Amazon Logistics,2023-09-21,Delivered
SHP30069,ORD20035,WH003,BlueDart,2023-08-23,In Transit
SHP30099,ORD20089,WH002,XPO Logistics,2023-10-09,In Transit
SHP30056,ORD20045,WH003,XPO Logistics,2023-09-07,In Transit
SHP30011,ORD20044,WH006,Delhivery,2023-10-22,Out for Delivery
SHP30048,ORD20073,WH004,Kuehne + Nagel,2023-10-13,In Transit
SHP30078,ORD20024,WH005,Amazon Logistics,2023-09-02,Delayed
SHP30050,ORD20038,WH007,DHL,2023-08-13,Lost
SHP30095,ORD20034,WH001,DHL,2023-09-13,Delivered
SHP30061,ORD20057,WH003,Kuehne + Nagel,2023-09-16,Delayed
SHP30007,ORD20001,WH005,BlueDart,2023-10-27,Delivered
SHP30090,ORD20037,WH006,Kuehne + Nagel,2023-10-08,In Transit
SHP30047,ORD20015,WH005,XPO Logistics,2023-09-05,Out for Delivery
SHP30059,ORD20093,WH002,XPO Logistics,2023-08-01,Delivered
